run_type,num_nodes,dataset_name,model,num_samples,generated_bipartite_pct,dataset_bipartite_pct,generated_edge_prob,dataset_edge_prob,edge_prob_diff,generated_mean_degree,dataset_mean_degree,mean_degree_diff,generated_std_degree,dataset_std_degree,std_degree_diff,gen_avg_clustering_coeff,dataset_avg_clustering_coeff,clustering_coeff_diff,gen_avg_shortest_path,dataset_avg_shortest_path,avg_shortest_path_diff
Evaluation,10,10N_Bipartite_Medium,Medium,512,0.0000,100.0000,0.4114,0.2307,0.1807,3.7027,2.0760,1.6267,1.4154,1.3096,0.1058,0.4067,0.0000,0.4067,1.7037,2.1109,0.4072
Evaluation,10,10N_Bipartite_Medium,legacy_run_params_10N_Bipartite_Medium_LR0.0037711868141441346_SIGMA1.5585418217447389_INIT0.416282403403894_NUMLAYERS2,512,8.7891,100.0000,0.2965,0.2307,0.0659,2.6687,2.0760,0.5927,1.2471,1.3096,0.0625,0.2365,0.0000,0.2365,1.9712,2.1109,0.1397
Evaluation,10,10N_Bipartite_Medium,Medium,512,33.3984,100.0000,0.2154,0.2307,0.0153,1.9387,2.0760,0.1373,1.1205,1.3096,0.1891,0.1316,0.0000,0.1316,2.0684,2.1109,0.0425
Evaluation,10,10N_Bipartite_Medium,Medium,512,37.5000,100.0000,0.2446,0.2307,0.0140,2.2016,2.0760,0.1256,1.1437,1.3096,0.1659,0.1127,0.0000,0.1127,2.1115,2.1109,0.0006
Evaluation,10,10N_Bipartite_Medium,Medium,512,39.2578,100.0000,0.2404,0.2307,0.0097,2.1637,2.0760,0.0877,1.1484,1.3096,0.1612,0.1070,0.0000,0.1070,2.0903,2.1109,0.0206
Evaluation,10,10N_Bipartite_Medium,Medium,512,43.1641,100.0000,0.2421,0.2307,0.0114,2.1789,2.0760,0.1029,1.1213,1.3096,0.1883,0.1067,0.0000,0.1067,2.1150,2.1109,0.0041
Evaluation,10,10N_Bipartite_Sparse,Sparse,512,0.0000,100.0000,0.4563,0.1771,0.2792,4.1062,1.5937,2.5126,1.3961,1.0706,0.3255,0.4314,0.0000,0.4314,1.6153,2.1652,0.5499
Evaluation,10,10N_Bipartite_Sparse,Sparse,512,15.2344,100.0000,0.2757,0.1771,0.0987,2.4816,1.5937,0.8880,1.2131,1.0706,0.1426,0.2027,0.0000,0.2027,2.0408,2.1652,0.1244
Evaluation,10,10N_Bipartite_Sparse,legacy_run_params_10N_Bipartite_Sparse_LR0.006115521401940773_SIGMA1.0372657813112909_INIT0.6303388864180629_NUMLAYERS2,512,15.2344,100.0000,0.2605,0.1771,0.0834,2.3441,1.5937,0.7505,1.1747,1.0706,0.1041,0.1848,0.0000,0.1848,2.0642,2.1652,0.1010
Evaluation,10,10N_Bipartite_Sparse,legacy_run_params_10N_Bipartite_Sparse_LR0.014049888784460545_SIGMA0.8704785169146021_INIT0.8213822199016373_NUMLAYERS1,512,23.0469,100.0000,0.2424,0.1771,0.0653,2.1813,1.5937,0.5876,1.1503,1.0706,0.0798,0.1501,0.0000,0.1501,2.1033,2.1652,0.0619
